provider_type,state,total_patients,medical_payment
Physician Assistant,OK,84,4949.47
Nurse Practitioner,VA,81,22983.02
Allergy/ Immunology,CA,54,
Family Practice,OR,266,94124.57
Certified Registered Nurse Anesthetist (CRNA),TX,83,8601.36
Diagnostic Radiology,NJ,2422,32898.83
Nurse Practitioner,MN,104,11597.33
Oral Surgery (Dentist only),MA,32,6715.41
Radiation Oncology,NY,239,37437.52
Advanced Heart Failure and Transplant Cardiology,AR,368,78527.27
Hematology-Oncology,PA,171,
Gastroenterology,NY,553,412578.53
Certified Registered Nurse Anesthetist (CRNA),PA,76,6820.11
Nurse Practitioner,IL,215,
Nurse Practitioner,TN,78,94859.89
Nurse Practitioner,KS,464,72962.93
Sports Medicine,IL,370,112381.45
Physician Assistant,AZ,186,26273.15
Colorectal Surgery (Proctology),MI,116,43044.42
Nurse Practitioner,CO,39,8234.99
Certified Registered Nurse Anesthetist (CRNA),MN,76,7649.91
Diagnostic Radiology,FL,658,43054.86
Audiologist,OH,448,16501.55
Physician Assistant,KS,99,
Family Practice,IL,114,
Emergency Medicine,NY,196,45091.19
Anesthesiology,IN,285,20386.13
Orthopedic Surgery,MI,99,53062.04
Nurse Practitioner,MO,96,
Nurse Practitioner,NC,11,1110.59
Obstetrics & Gynecology,IL,124,14377.27
Hospitalist,VA,295,54128.05
Internal Medicine,SC,28,1177.88
Nurse Practitioner,IL,321,34243.09
Nurse Practitioner,MS,11,4774.88
Optometry,FL,277,38681.98
Family Practice,TX,261,
Nurse Practitioner,MS,139,29514
Diagnostic Radiology,CT,1271,
Internal Medicine,PA,200,37312.79
Internal Medicine,DC,123,
Chiropractic,TX,130,32081.67
Nurse Practitioner,KY,49,
Endocrinology,MI,147,44098.77
Family Practice,TX,26,3739.57
Optometry,NE,108,8963.15
Interventional Pain Management,NC,475,285403.16
Ophthalmology,MI,353,
Licensed Clinical Social Worker,DE,30,21412.21
Chiropractic,KY,14,3877.64
Nurse Practitioner,AK,163,
Radiation Oncology,MA,249,156125.28
Nurse Practitioner,WA,30,10585.67
Physician Assistant,NC,45,12624.84
Psychiatry,TX,34,9035.56
Internal Medicine,CA,44,13200.8
Licensed Clinical Social Worker,MA,14,2974.73
Physician Assistant,GA,178,22571.15
Physical Therapist in Private Practice,SC,37,43006.12
Certified Registered Nurse Anesthetist (CRNA),FL,60,14903.77
Diagnostic Radiology,IL,2432,111338.8
Anesthesiology,TX,162,18495.32
Nurse Practitioner,SC,59,
General Surgery,MO,84,16888.12
Podiatry,IA,279,291876.57
Internal Medicine,NY,440,228624.05
Licensed Clinical Social Worker,IN,13,10179.38
Internal Medicine,NY,406,629402.47
Medical Oncology,TX,341,80142.67
Psychiatry,GA,49,11458.69
Emergency Medicine,FL,18,1984.8
Family Practice,MI,60,17503.12
Neurology,OR,119,17093.54
Nurse Practitioner,MO,37,4217.32
Diagnostic Radiology,NY,2130,
Nurse Practitioner,PA,114,13843.08
Internal Medicine,KY,115,20712.65
Family Practice,IL,161,
Dermatology,MA,161,65027.1
Ophthalmology,UT,462,101606.08
Hand Surgery,MO,378,84049.45
Chiropractic,NJ,27,9633.47
General Surgery,TX,68,27671.6
Internal Medicine,TN,49,82494.45
Chiropractic,DE,68,21166.4
Nephrology,WV,64,17929.44
Family Practice,KS,130,29902.45
Physical Therapist in Private Practice,TN,15,4479.34
Internal Medicine,VA,102,42002.62
Nurse Practitioner,FL,161,53167.78
Nurse Practitioner,PA,40,4405.63
Internal Medicine,LA,51,17088.19
Licensed Professional Counselor,TX,16,3303.75
Internal Medicine,CA,37,4125.9
Physical Therapist in Private Practice,UT,147,84719.36
Pathology,VA,498,52893.77
Physical Medicine and Rehabilitation,NC,258,173254.69
Nurse Practitioner,NY,288,305600.11
Family Practice,OR,38,
General Practice,FL,125,
Interventional Radiology,CA,300,71802.9
Internal Medicine,AR,560,93317.34
Colorectal Surgery (Proctology),LA,102,51526.25
General Surgery,NC,208,
Gastroenterology,TX,182,33405.94
Nurse Practitioner,NJ,32,7133.9
Internal Medicine,NY,99,19384.84
Physician Assistant,FL,95,9160.23
Diagnostic Radiology,DE,1151,
Clinical Cardiac Electrophysiology,WA,1367,192486.99
Diagnostic Radiology,NC,2781,121786.71
Cardiology,AZ,1705,955118.02
Certified Registered Nurse Anesthetist (CRNA),AR,288,29668.57
Psychiatry,CA,52,16978.27
Internal Medicine,WA,259,69945.84
Neurosurgery,OK,278,186378.84
Cardiology,TX,1225,241632.36
Internal Medicine,AR,479,174919.9
Nurse Practitioner,MO,182,21390.49
Obstetrics & Gynecology,MS,79,
Nurse Practitioner,VA,16,4708.56
Nurse Practitioner,NY,59,3185.87
Chiropractic,CT,66,41162.45
Cardiology,IN,1300,
Anesthesiology,NY,15,2981.19
Obstetrics & Gynecology,NY,193,72033.16
Nurse Practitioner,MA,39,6509.9
Hospitalist,VA,28,4649.35
Physician Assistant,IL,525,38597.67
Plastic and Reconstructive Surgery,CA,80,54501.13
Physical Therapist in Private Practice,MA,46,12540.24
Cardiology,NH,1148,75954.15
Physical Therapist in Private Practice,PA,34,20320.23
Orthopedic Surgery,NY,70,19861.47
Orthopedic Surgery,NJ,188,85428.31
Neurology,CO,84,13079.34
Emergency Medicine,IL,800,132156.71
Internal Medicine,SC,513,231984.88
Licensed Clinical Social Worker,MI,12,11092.1
Internal Medicine,KY,195,63673.86
Physician Assistant,WI,142,10080.2
Nurse Practitioner,FL,12,1141.69
Occupational Therapist in Private Practice,PA,63,26706.42
Certified Registered Nurse Anesthetist (CRNA),AR,144,35508.65
Micrographic Dermatologic Surgery,TX,650,735464.2
Gastroenterology,PA,373,
Internal Medicine,PA,176,33540.88
Anesthesiology,LA,70,17139.57
Podiatry,OH,236,
Family Practice,MI,381,79250.84
Psychiatry,PA,18,14796.26
Psychiatry,ME,49,7815.33
Optometry,AZ,254,31224.57
Nurse Practitioner,CA,215,
Nurse Practitioner,SC,115,12950
Anesthesiology,OR,64,14936.39
Nurse Practitioner,NV,250,49158.02
Podiatry,IL,589,202605.27
Anesthesiology,FL,135,19583.88
Marriage and Family Therapist,CA,22,2600.21
Internal Medicine,VA,901,208351.43
Physical Therapist in Private Practice,FL,59,55206.97
Neurology,IN,424,77022.74
Pulmonary Disease,MA,967,114458.95
Psychiatry,CA,74,6180.41
Optometry,NC,221,21235.4
General Surgery,NJ,106,36611.4
Chiropractic,MO,117,39056.74
Emergency Medicine,GA,284,41652.9
Nurse Practitioner,IL,189,62563.86
Certified Registered Nurse Anesthetist (CRNA),MI,34,2827.84
Physician Assistant,MI,109,22886.62
Cardiology,KS,24,3729.67
Certified Registered Nurse Anesthetist (CRNA),NY,86,9684.8
Nurse Practitioner,MO,12,580.41
Podiatry,NY,3427,696177.88
Optometry,OK,47,4150.01
Nurse Practitioner,TX,50,
Diagnostic Radiology,FL,1266,21781.27
"Psychologist, Clinical",NY,92,155879.18
Emergency Medicine,CA,433,65446.34
Family Practice,IL,207,27236.21
Anesthesiology,MO,93,10202.86
Geriatric Medicine,SC,157,
Emergency Medicine,CA,135,
Diagnostic Radiology,MN,1402,112532.49
Interventional Radiology,NY,38,62225.54
Physical Therapist in Private Practice,OH,69,25624.75
Emergency Medicine,IL,310,29620.28
Physician Assistant,WA,234,26769.29
Family Practice,OR,28,
Chiropractic,NY,38,14677.26
Optometry,MD,106,11312.6
Internal Medicine,VA,288,50175.28
Licensed Clinical Social Worker,NC,126,92056.77
Nurse Practitioner,FL,50,25036.01
Physician Assistant,OK,670,159855.09
Physical Medicine and Rehabilitation,FL,145,67549.76
Neurology,CA,762,
Internal Medicine,FL,55,9018.02
Nurse Practitioner,CA,86,
Neurology,NY,227,39166.31
Occupational Therapist in Private Practice,FL,28,9854.89
Nurse Practitioner,KS,130,15181.05
Emergency Medicine,MO,567,79445.52
Ophthalmology,VA,17,
Diagnostic Radiology,FL,855,126323.32
Nurse Practitioner,VA,119,7702.91
Plastic and Reconstructive Surgery,GA,47,45795.62
Optometry,WA,282,40280.01
Nephrology,NY,1385,
Endocrinology,MA,42,11481.37
Licensed Professional Counselor,MA,13,15190.5
Occupational Therapist in Private Practice,NJ,19,10750.81
Hospitalist,PA,135,46753.95
Nurse Practitioner,FL,83,29041.63
Cardiology,NY,1706,754733.26
Nurse Practitioner,MO,147,11490.36
Nurse Practitioner,TX,114,18889.21
Nurse Practitioner,OH,28,
Physician Assistant,PA,60,2332.97
Nurse Practitioner,TX,226,48586.44
Obstetrics & Gynecology,AZ,12,1912.2
Hospitalist,IL,26,4336.12
Diagnostic Radiology,AR,2419,
Anesthesiology,TN,163,29227.32
Chiropractic,NY,69,6877.49
Psychiatry,TN,33,34748.32
Family Practice,OK,1004,563388.94
Psychiatry,MA,173,45918.42
Physician Assistant,MD,216,24622.98
Emergency Medicine,TX,127,12070.17
Pulmonary Disease,ME,403,48833.06
Family Practice,OK,84,5911.39
Physical Therapist in Private Practice,MA,29,18821.66
Emergency Medicine,DC,25,2629.97
Licensed Clinical Social Worker,MO,78,27669.88
Certified Registered Nurse Anesthetist (CRNA),MN,28,2821.92
Family Practice,PA,372,50679.38
Dermatology,CA,922,346942.31
Certified Registered Nurse Anesthetist (CRNA),SD,60,5788.2
Rheumatology,FL,141,31155.51
Physician Assistant,TX,297,34626.37
Emergency Medicine,CO,318,44655.27
Speech Language Pathologist,MT,50,41911.52
Physical Therapist in Private Practice,PA,21,23543.93
General Surgery,IL,157,28788.16
General Surgery,PA,26,4108.69
Emergency Medicine,CA,103,12430.46
Internal Medicine,AR,195,64919.18
Internal Medicine,MO,594,133332.59
Nurse Practitioner,KY,139,16124.54
Family Practice,OH,111,22990.68
Internal Medicine,MD,42,
Physician Assistant,IN,140,12894.75
Nurse Practitioner,OK,13,1410.59
Certified Registered Nurse Anesthetist (CRNA),FL,237,50390.2
Family Practice,CA,40,671.92
Plastic and Reconstructive Surgery,SC,121,
Certified Registered Nurse Anesthetist (CRNA),FL,42,4488.86
Emergency Medicine,PA,159,19062.33
Nurse Practitioner,CO,373,
Physical Therapist in Private Practice,IL,52,19313.74
Licensed Clinical Social Worker,CO,19,24687.44
Internal Medicine,TX,187,106340.69
Nurse Practitioner,MD,82,19315.02
Nurse Practitioner,MT,18,
Rheumatology,LA,336,
Gastroenterology,TX,185,44068.36
Nurse Practitioner,NE,177,41878.61
Orthopedic Surgery,IL,95,39063.87
Nurse Practitioner,FL,162,41576.99
Nurse Practitioner,NC,177,28943.04
Certified Registered Nurse Anesthetist (CRNA),MA,66,6425.69
Pathology,TN,1736,196890.9
Endocrinology,NY,190,35479.01
Physical Medicine and Rehabilitation,NM,224,109824.09
Physician Assistant,VA,66,13851.91
Emergency Medicine,CA,109,16308.07
Optometry,PA,58,9001.82
Chiropractic,CA,11,6807.87
Nurse Practitioner,AL,100,7237.3
Internal Medicine,PA,77,8369.39
Podiatry,AZ,194,161772.55
Micrographic Dermatologic Surgery,MO,439,459383.28
Internal Medicine,IL,244,13843.29
Physical Therapist in Private Practice,WA,35,26320.99
Physical Therapist in Private Practice,PA,108,41104.05
Physical Therapist in Private Practice,OK,40,11353.51
Optometry,NJ,105,14542.83
Internal Medicine,NY,257,32924.64
Internal Medicine,NY,431,63132.36
Internal Medicine,CA,182,30533.06
Physical Therapist in Private Practice,KY,76,103780.82
Physician Assistant,NM,63,7567.11
Emergency Medicine,TX,151,20171.54
Family Practice,PA,140,49327.9
Physical Therapist in Private Practice,NJ,87,52446.5
Internal Medicine,FL,324,88124.97
Nurse Practitioner,PA,51,5021.56
Diagnostic Radiology,GA,17,2421.17
Ophthalmology,OR,564,
Hematology-Oncology,VA,149,29547.31
General Practice,CA,545,
Psychiatry,KY,16,2473.98
Physician Assistant,IL,315,30219.21
Physical Therapist in Private Practice,NH,62,28598.41
Internal Medicine,OH,80,15395.25
Family Practice,TX,81,
Emergency Medicine,IL,219,
Family Practice,WA,42,
Nurse Practitioner,OH,244,32403.06
Hospitalist,PA,163,28829.64
Nurse Practitioner,RI,71,11325.2
Nurse Practitioner,OH,28,5387.72
Physical Therapist in Private Practice,CA,38,20741.99
Family Practice,MO,437,76034.58
Internal Medicine,CA,221,50311.53
Gastroenterology,FL,569,109079.31
Physical Therapist in Private Practice,MD,16,38229.02
Neurology,CA,113,
Critical Care (Intensivists),CA,108,33566.46
Interventional Radiology,FL,41,18479.3
Family Practice,FL,125,
Physical Therapist in Private Practice,CA,51,63629.7
Optometry,TN,59,4899.52
General Surgery,TX,162,30784.02
Nurse Practitioner,VA,359,40857.42
Neurosurgery,MN,158,166519.68
General Surgery,CA,40,31427.38
Family Practice,MI,33,822.42
Podiatry,TX,702,143497.4
Nurse Practitioner,MA,106,18431.29
Nurse Practitioner,CA,16,1488.6
Cardiology,PA,1062,232007.56
Physical Medicine and Rehabilitation,AL,727,338073.5
Physical Therapist in Private Practice,AL,49,21169.13
Physician Assistant,NM,258,50343.14
Nurse Practitioner,IN,45,2755.42
Diagnostic Radiology,AL,1811,75820.62
Physician Assistant,PA,50,1911.95
Emergency Medicine,GA,77,2429.28
Internal Medicine,OH,289,66549.56
Internal Medicine,MI,291,114544.58
Dermatology,NJ,594,
Otolaryngology,NY,74,25644.77
Physical Therapist in Private Practice,IN,55,9718.4
Family Practice,FL,267,23979.74
Chiropractic,IA,32,8721.3
Family Practice,NC,160,69438.97
Certified Registered Nurse Anesthetist (CRNA),PA,112,12908.46
Family Practice,OR,263,108990.74
Family Practice,IL,646,302050.64
Hospitalist,MI,51,14811.92
Family Practice,MD,18,
Pediatric Medicine,UT,15,1956.66
General Surgery,FL,690,187967.32
Emergency Medicine,OH,16,2593.42
Emergency Medicine,CA,229,33528.25
Internal Medicine,AL,248,89037.99
Nurse Practitioner,CA,61,32470.2
Hematology-Oncology,PA,263,43163.12
Physician Assistant,TX,29,4143.08
Dermatology,VA,933,183672.13
Nurse Practitioner,GA,168,28497.44
Optometry,CA,137,4951.65
Emergency Medicine,AZ,132,17634.51
Nurse Practitioner,IN,528,59996.49
Nurse Practitioner,WI,55,3855.13
Nurse Practitioner,NY,188,18156.48
Physician Assistant,PA,25,23894.34
Critical Care (Intensivists),MI,179,33241.53
Interventional Cardiology,LA,127,16028.63
Emergency Medicine,NC,388,51499.54
Internal Medicine,CT,39,2982.43
Certified Registered Nurse Anesthetist (CRNA),NY,240,38942.86
Medical Oncology,MA,53,16246.65
Anesthesiology,AZ,47,7556.01
Internal Medicine,MS,118,
Internal Medicine,NV,116,
Obstetrics & Gynecology,IL,62,12269.54
Nurse Practitioner,NV,54,10472.15
Certified Registered Nurse Anesthetist (CRNA),MN,75,7808.88
Emergency Medicine,OH,65,7349.93
Physician Assistant,IL,151,20380.92
Licensed Clinical Social Worker,MA,59,17034.14
Psychiatry,WA,68,12639.98
Certified Registered Nurse Anesthetist (CRNA),MN,78,4213.05
Family Practice,PA,279,50193.76
Dermatology,TX,217,47924.72
Audiologist,UT,121,5394.26
Internal Medicine,TN,145,156454.19
Nurse Practitioner,IL,167,18132.3
Radiation Oncology,AL,121,140084.03
Certified Registered Nurse Anesthetist (CRNA),IL,165,35013.56
Certified Registered Nurse Anesthetist (CRNA),MA,122,12164.35
Nurse Practitioner,CO,113,
Nurse Practitioner,TX,14,906.08
Internal Medicine,TX,294,109080.73
Pulmonary Disease,PA,398,73824.67
Optometry,IL,226,25132.14
Physician Assistant,OH,26,1999.56
Hematology-Oncology,IL,95,17878.1
Optometry,NC,915,84919.46
Hematology-Oncology,TN,116,22687.62
Anesthesiology,MO,21,1058.52
Internal Medicine,WA,61,10267.73
Optometry,MA,126,12890.63
Nurse Practitioner,NY,55,4033.35
Nephrology,OH,213,57263.89
Nurse Practitioner,NC,13,1439.58
Nurse Practitioner,TX,74,7764.49
Physical Therapist in Private Practice,MD,61,21550.67
Certified Registered Nurse Anesthetist (CRNA),AL,196,19749.56
Diagnostic Radiology,MN,2829,84476.81
Nurse Practitioner,OR,18,
Obstetrics & Gynecology,MI,64,7470.71
Neurology,TX,616,78112.03
Physician Assistant,OR,107,23072.89
Ophthalmology,FL,572,
Ophthalmology,NJ,2160,
Certified Registered Nurse Anesthetist (CRNA),NC,43,3437.53
Physician Assistant,NY,166,
Family Practice,KS,392,85796.89
Internal Medicine,GU,401,128320.26
Family Practice,MN,154,30209.28
Nurse Practitioner,TN,75,26970.38
Nurse Practitioner,NY,197,13703.84
Nurse Practitioner,MA,246,29459.24
Nurse Practitioner,MI,185,10236.92
Nurse Practitioner,AZ,53,2894.29
Physician Assistant,CO,261,29710.46
Optometry,LA,119,8264.48
Physician Assistant,VA,90,7147.59
Optometry,HI,257,39159.04
Neurology,NY,381,52767.18
Audiologist,VA,329,12422.84
Internal Medicine,FL,155,16220.02
General Surgery,MA,57,20329.88
Emergency Medicine,IL,548,82446.58
Nuclear Medicine,VA,633,49892.54
Obstetrics & Gynecology,VA,388,72413.48
Physical Therapist in Private Practice,MI,20,17041.46
Nurse Practitioner,PA,216,21488.25
Internal Medicine,MD,432,106052.82
Diagnostic Radiology,NY,141,12868.65
Physician Assistant,WI,17,761.05
Diagnostic Radiology,TX,2326,75687.67
Otolaryngology,WA,11,1272.78
Neurology,CA,188,29667.62
Obstetrics & Gynecology,ID,29,3265.85
General Surgery,MA,204,48851.22
Cardiology,FL,1337,719445.74
General Practice,PR,24,4374.87
Emergency Medicine,CA,153,20873.37
Internal Medicine,FL,284,93828.82
Certified Registered Nurse Anesthetist (CRNA),NC,53,5233.9
Physician Assistant,IN,42,8695.31
Nurse Practitioner,CO,134,143263.8
Internal Medicine,IN,425,76212.5
Nurse Practitioner,OK,107,9675.55
Family Practice,FL,458,96669.42
Internal Medicine,OK,17,2121.53
Physician Assistant,ND,57,16850.02
Physical Therapist in Private Practice,MA,32,27625.52
Physician Assistant,VA,168,
Physical Therapist in Private Practice,IL,48,57531.6
Physician Assistant,MI,220,31101.88
Orthopedic Surgery,NC,271,88043.96
Hospitalist,MI,170,20441.25
Nurse Practitioner,PA,594,66198.14
Physician Assistant,VA,68,6254.31
Nurse Practitioner,PA,57,5302.75
Nurse Practitioner,IL,278,41329.34
Family Practice,TX,256,44376.13
Nurse Practitioner,CO,48,
Nurse Practitioner,OH,16,880.67
Internal Medicine,VA,268,38482.76
Physician Assistant,NM,383,52618.79
Physician Assistant,UT,134,8261.06
Certified Registered Nurse Anesthetist (CRNA),KY,33,4010.76
Optometry,TX,1314,152067.05
Psychiatry,CA,18,7172.68
Licensed Clinical Social Worker,IN,28,3537.79
Nurse Practitioner,AL,186,
Chiropractic,MI,42,7925.51
Internal Medicine,VA,225,37068.79
Nurse Practitioner,LA,52,
Critical Care (Intensivists),NJ,186,57446.41
Anesthesiology,MI,605,62171.1
Physician Assistant,NY,63,
Internal Medicine,TX,347,79514.02
Chiropractic,IL,168,27074.05
Nurse Practitioner,MI,105,18112.97
Optometry,FL,141,21100.27
Orthopedic Surgery,NJ,77,40198.06
Nurse Practitioner,NJ,132,52088.08
Psychiatry,TN,31,23005.95
Pain Management,CA,113,167231.34
Certified Clinical Nurse Specialist,KS,21,957.28
Optometry,NY,91,9628.63
Clinical Cardiac Electrophysiology,OH,401,78715.08
"Psychologist, Clinical",CA,51,13321.26
Internal Medicine,IL,587,161603.82
Diagnostic Radiology,OH,855,51892.84
Physician Assistant,MN,130,13600.29
Nurse Practitioner,OR,52,
Neurosurgery,KY,194,66076.92
Emergency Medicine,WV,145,13502.86
Nurse Practitioner,IN,423,
Licensed Clinical Social Worker,GA,15,17810.28
General Surgery,NY,79,20037.42
Internal Medicine,NY,254,63051.98
Physical Therapist in Private Practice,MS,15,13518.77
Physical Medicine and Rehabilitation,OH,149,37352.44
Hospitalist,CA,218,71178.83
Emergency Medicine,SC,404,45342.12
Cardiology,CO,2398,83643.93
Pathology,CA,2116,222383.65
Licensed Clinical Social Worker,SC,40,31561.59
"Psychologist, Clinical",MD,11,28484.38
Pulmonary Disease,MO,235,
Diagnostic Radiology,OH,1368,84687.55
Diagnostic Radiology,NC,1705,69506.53
Registered Dietitian or Nutrition Professional,WA,29,3429.31
Nurse Practitioner,CO,16,1325.97
Optometry,WY,236,22305.42
Internal Medicine,KY,183,25019.09
Family Practice,CT,85,
Physical Therapist in Private Practice,CA,95,30786.33
Nurse Practitioner,PA,113,189204.25
Urology,NY,1348,348849.4
Internal Medicine,NV,58,15585.76
Diagnostic Radiology,FL,2900,
Psychiatry,FL,80,25122.98
Anesthesiology,PA,183,16431.71
Audiologist,WI,46,2273.61
Physician Assistant,NY,29,1586.52
Optometry,OH,413,25801.3
Cardiology,NY,2192,106339.3
Certified Registered Nurse Anesthetist (CRNA),VA,167,15836.16
Physician Assistant,WI,41,10593.37
Optometry,IA,35,4055.07
Physical Therapist in Private Practice,WA,52,12050.07
Nurse Practitioner,GA,209,72028.38
Nurse Practitioner,WV,156,28795.48
Internal Medicine,AR,191,
Ophthalmology,NJ,731,109452.76
Pain Management,AZ,422,294851.21
Family Practice,PR,17,2856.86
Physical Therapist in Private Practice,IL,37,15865.9
Registered Dietitian or Nutrition Professional,PA,11,1796.4
Anesthesiology,TX,97,10877.88
Nurse Practitioner,NE,45,3907.33
General Surgery,KY,104,25451.65
